index,dt,day,month,year,City,AverageTemperature,AverageTemperatureUncertainty,Latitude,Longitude
51674,1743-11-01,1,11,1743,Chicago,5.436,2.205,42.59N,87.27W
51675,1743-12-01,1,12,1743,Chicago,,,42.59N,87.27W
51676,1744-01-01,1,1,1744,Chicago,,,42.59N,87.27W
51677,1744-02-01,1,2,1744,Chicago,,,42.59N,87.27W
51678,1744-03-01,1,3,1744,Chicago,,,42.59N,87.27W
51679,1744-04-01,1,4,1744,Chicago,8.766,2.357,42.59N,87.27W
51680,1744-05-01,1,5,1744,Chicago,11.605,2.102,42.59N,87.27W
51681,1744-06-01,1,6,1744,Chicago,17.965,1.989,42.59N,87.27W
51682,1744-07-01,1,7,1744,Chicago,21.68,1.786,42.59N,87.27W
51683,1744-08-01,1,8,1744,Chicago,,,42.59N,87.27W
51684,1744-09-01,1,9,1744,Chicago,17.03,1.927,42.59N,87.27W
51685,1744-10-01,1,10,1744,Chicago,10.662,2.165,42.59N,87.27W
51686,1744-11-01,1,11,1744,Chicago,5.776,2.083,42.59N,87.27W
51687,1744-12-01,1,12,1744,Chicago,0.371,2.471,42.59N,87.27W
51688,1745-01-01,1,1,1745,Chicago,-0.901,2.649,42.59N,87.27W
51689,1745-02-01,1,2,1745,Chicago,-0.422,2.494,42.59N,87.27W
51690,1745-03-01,1,3,1745,Chicago,1.865,2.363,42.59N,87.27W
51691,1745-04-01,1,4,1745,Chicago,6.654,1.987,42.59N,87.27W
51692,1745-05-01,1,5,1745,Chicago,,,42.59N,87.27W
51693,1745-06-01,1,6,1745,Chicago,,,42.59N,87.27W
51694,1745-07-01,1,7,1745,Chicago,,,42.59N,87.27W
51695,1745-08-01,1,8,1745,Chicago,,,42.59N,87.27W
51696,1745-09-01,1,9,1745,Chicago,,,42.59N,87.27W
51697,1745-10-01,1,10,1745,Chicago,,,42.59N,87.27W
51698,1745-11-01,1,11,1745,Chicago,,,42.59N,87.27W
51699,1745-12-01,1,12,1745,Chicago,,,42.59N,87.27W
51700,1746-01-01,1,1,1746,Chicago,,,42.59N,87.27W
51701,1746-02-01,1,2,1746,Chicago,,,42.59N,87.27W
51702,1746-03-01,1,3,1746,Chicago,,,42.59N,87.27W
51703,1746-04-01,1,4,1746,Chicago,,,42.59N,87.27W
51704,1746-05-01,1,5,1746,Chicago,,,42.59N,87.27W
51705,1746-06-01,1,6,1746,Chicago,,,42.59N,87.27W
51706,1746-07-01,1,7,1746,Chicago,,,42.59N,87.27W
51707,1746-08-01,1,8,1746,Chicago,,,42.59N,87.27W
51708,1746-09-01,1,9,1746,Chicago,,,42.59N,87.27W
51709,1746-10-01,1,10,1746,Chicago,,,42.59N,87.27W
51710,1746-11-01,1,11,1746,Chicago,,,42.59N,87.27W
51711,1746-12-01,1,12,1746,Chicago,,,42.59N,87.27W
51712,1747-01-01,1,1,1747,Chicago,,,42.59N,87.27W
51713,1747-02-01,1,2,1747,Chicago,,,42.59N,87.27W
51714,1747-03-01,1,3,1747,Chicago,,,42.59N,87.27W
51715,1747-04-01,1,4,1747,Chicago,,,42.59N,87.27W
51716,1747-05-01,1,5,1747,Chicago,,,42.59N,87.27W
51717,1747-06-01,1,6,1747,Chicago,,,42.59N,87.27W
51718,1747-07-01,1,7,1747,Chicago,,,42.59N,87.27W
51719,1747-08-01,1,8,1747,Chicago,,,42.59N,87.27W
51720,1747-09-01,1,9,1747,Chicago,,,42.59N,87.27W
51721,1747-10-01,1,10,1747,Chicago,,,42.59N,87.27W
51722,1747-11-01,1,11,1747,Chicago,,,42.59N,87.27W
51723,1747-12-01,1,12,1747,Chicago,,,42.59N,87.27W
51724,1748-01-01,1,1,1748,Chicago,,,42.59N,87.27W
51725,1748-02-01,1,2,1748,Chicago,,,42.59N,87.27W
51726,1748-03-01,1,3,1748,Chicago,,,42.59N,87.27W
51727,1748-04-01,1,4,1748,Chicago,,,42.59N,87.27W
51728,1748-05-01,1,5,1748,Chicago,,,42.59N,87.27W
51729,1748-06-01,1,6,1748,Chicago,,,42.59N,87.27W
51730,1748-07-01,1,7,1748,Chicago,,,42.59N,87.27W
51731,1748-08-01,1,8,1748,Chicago,,,42.59N,87.27W
51732,1748-09-01,1,9,1748,Chicago,,,42.59N,87.27W
51733,1748-10-01,1,10,1748,Chicago,,,42.59N,87.27W
51734,1748-11-01,1,11,1748,Chicago,,,42.59N,87.27W
51735,1748-12-01,1,12,1748,Chicago,,,42.59N,87.27W
51736,1749-01-01,1,1,1749,Chicago,,,42.59N,87.27W
51737,1749-02-01,1,2,1749,Chicago,,,42.59N,87.27W
51738,1749-03-01,1,3,1749,Chicago,,,42.59N,87.27W
51739,1749-04-01,1,4,1749,Chicago,,,42.59N,87.27W
51740,1749-05-01,1,5,1749,Chicago,,,42.59N,87.27W
